,FEN Board,Evaluation
43,C3kab2/4a4/c2nb2c1/pr6p/4p2n1/2P6/P3P3P/2NCB1N2/4A4/2BAK3R w - - 18 23,0.17
44,C3kab2/4a4/c2nb2c1/pr6p/4p2n1/2P6/P3P3P/2NCB1N2/4A4/2BAKR3 b - - 19 23,-0.0
45,C3kab2/4a4/c2nb2c1/p5r1p/4p2n1/2P6/P3P3P/2NCB1N2/4A4/2BAKR3 w - - 20 24,0.37
46,C3kab2/4a4/c2nb2c1/p5r1p/4p2n1/2PN5/P3P3P/3CB1N2/4A4/2BAKR3 b - - 21 24,0.22
47,C3kab2/4a4/c3b2c1/pn4r1p/4p2n1/2PN5/P3P3P/3CB1N2/4A4/2BAKR3 w - - 22 25,0.96
48,C3kab2/4a4/c3b2c1/pn4r1p/4pR1n1/2PN5/P3P3P/3CB1N2/4A4/2BAK4 b - - 23 25,0.95
49,C3kab2/4a4/c3b2c1/pn4r1p/4pR3/2PN5/P3P1n1P/3CB1N2/4A4/2BAK4 w - - 24 26,1.03
50,C3kab2/4a4/c3b2c1/pn4r1p/4R4/2PN5/P3P1n1P/3CB1N2/4A4/2BAK4 b - - 0 26,0.81
51,C3kab2/c3a4/4b2c1/pn4r1p/4R4/2PN5/P3P1n1P/3CB1N2/4A4/2BAK4 w - - 1 27,1.78
52,C3kab2/c3a4/4b2c1/pn2R1r1p/9/2PN5/P3P1n1P/3CB1N2/4A4/2BAK4 b - - 2 27,2.0
53,C3kab2/c3a4/4b2c1/pn2r3p/9/2PN5/P3P1n1P/3CB1N2/4A4/2BAK4 w - - 0 28,1.95
54,C3kab2/c3a4/4b2c1/pn2N3p/9/2P6/P3P1n1P/3CB1N2/4A4/2BAK4 b - - 0 28,1.95
55,C3kab2/2c1a4/4b2c1/pn2N3p/9/2P6/P3P1n1P/3CB1N2/4A4/2BAK4 w - - 1 29,1.84
56,C3kab2/2c1a4/4b2c1/pn2N3p/9/2P6/P3P1n1P/1C2B1N2/4A4/2BAK4 b - - 2 29,1.94
57,C2k1ab2/2c1a4/4b2c1/pn2N3p/9/2P6/P3P1n1P/1C2B1N2/4A4/2BAK4 w - - 3 30,2.43
58,C2k1ab2/2c1a4/4b2c1/pn6p/9/2PN5/P3P1n1P/1C2B1N2/4A4/2BAK4 b - - 4 30,1.82
59,C2k1ab2/2c1a4/4b1c2/pn6p/9/2PN5/P3P1n1P/1C2B1N2/4A4/2BAK4 w - - 5 31,2.06
60,C2k1ab2/2c1a4/4b1c2/pnN5p/9/2P6/P3P1n1P/1C2B1N2/4A4/2BAK4 b - - 6 31,1.25
61,C2k1ab2/2c1a4/6c2/pnN5p/6b2/2P6/P3P1n1P/1C2B1N2/4A4/2BAK4 w - - 7 32,2.24
62,C2k1ab2/2c1a4/6c2/pnN5p/6b2/2P6/P3P1n1P/3CB1N2/4A4/2BAK4 b - - 8 32,1.96
63,C3kab2/2c1a4/6c2/pnN5p/6b2/2P6/P3P1n1P/3CB1N2/4A4/2BAK4 w - - 9 33,2.02
64,C3kab2/2c1a4/6c2/pnN5p/6b2/2P6/P3P1n1P/3CB1N2/4A4/2BA1K3 b - - 10 33,1.35
65,C3kab2/2c6/5ac2/pnN5p/6b2/2P6/P3P1n1P/3CB1N2/4A4/2BA1K3 w - - 11 34,1.36
